,Student Name,Department,Physics,Mathematics,Chemistry,AI,Term Work,DOB
681,Rachel Chisolm,COMPUTER,95.0,5.0,51.0,41.0,7,2003-10-23
682,Sarah Ream,COMPUTER,87.0,72.0,24.0,6.9,9,2002-8-23
683,Nancy Harrington,COMPUTER,,12.0,67.4,20.0,5,2001-12-5
684,Jean Ray,MECHANICAL,,90.0,73.4,47.0,5,2001-3-21
685,Alfonso Vancuren,COMPUTER,71.0,82.0,64.2,23.3,2,2003-12-6
686,Carla Hudson,MECHANICAL,65.0,6.0,73.4,66.0,7,2003-10-8
687,Dennis West,MECHANICAL,89.0,94.0,74.9,,9,2002-8-19
688,Kenneth Thompson,MECHANICAL,61.0,44.6,56.5,58.0,5,2003-8-21
689,Jose Neher,COMPUTER,14.0,20.0,70.8,87.0,2,2001-7-7
690,Matthew Mccard,COMPUTER,50.0,14.0,55.0,,6,2002-7-7
691,John Marrin,COMPUTER,,33.0,43.0,60.0,10,2003-9-17
692,Rosemarie Yau,MECHANICAL,,7.0,46.0,80.0,7,2001-8-13
693,Paul Hall,ENTC,,,51.0,,6,2002-6-25
694,Anna Parker,ENTC,48.0,41.4,5.0,72.0,9,2003-7-23
695,Norma Brinkly,COMPUTER,,,34.0,57.0,2,2001-8-30
696,Classie Burtt,COMPUTER,36.0,81.0,56.1,38.0,9,2003-2-16
697,Louise Barr,COMPUTER,,,220.0,40.0,2,2002-9-12
698,Arthur Omar,MECHANICAL,59.0,89.0,11.0,59.0,10,2001-11-10
699,Noreen Diaz,COMPUTER,15.0,,74.0,44.0,8,2003-11-24
700,Milton Vang,COMPUTER,28.0,82.0,9.0,80.0,1,2002-9-26
701,Cyril Wilkinson,COMPUTER,51.0,,44.0,43.0,7,2001-7-14
702,Charlie Houston,COMPUTER,62.0,96.0,30.0,12.8,2,2001-10-13
703,Douglas Tucker,MECHANICAL,58.0,91.0,52.0,59.0,2,2002-4-10
704,Richard Cote,COMPUTER,96.0,84.0,43.0,60.0,6,2003-3-6
705,Brian Devine,MECHANICAL,92.0,43.2,69.3,74.0,3,2001-4-12
706,Jack Davis,COMPUTER,52.0,35.0,74.9,99.0,6,2001-8-25
707,Antonia Brooks,COMPUTER,14.0,100.0,19.0,,2,2001-12-15
708,John Francis,COMPUTER,96.0,36.3,83.0,,1,2002-12-23
709,Herminia Newman,ENTC,42.0,100.0,64.5,,10,2003-3-24
710,June Glenn,MECHANICAL,64.0,28.0,59.0,79.0,7,2001-8-27
711,Velma Marshall,ENTC,39.0,97.0,174.0,70.0,7,2003-6-17
712,Romeo Watts,MECHANICAL,85.0,24.0,72.5,5.3,4,2001-3-15
713,Donald Brown,COMPUTER,53.0,17.0,78.0,12.9,7,2003-2-11
714,John Carpenter,COMPUTER,88.0,90.0,214.0,20.4,6,2001-3-27
715,Opal Jackson,ENTC,81.0,56.0,80.0,44.0,4,2002-10-5
716,Christi Spaur,ENTC,60.0,7.0,12.0,75.0,10,2002-12-21
717,Richard Porter,MECHANICAL,55.0,56.0,72.3,69.0,6,2001-8-2
718,William Meaker,MECHANICAL,20.0,95.0,33.0,43.0,3,2002-6-7
719,Gladys Johnson,ENTC,74.0,89.0,39.0,98.0,4,2001-4-24
720,Dorothy Robitaille,COMPUTER,42.0,18.0,35.0,100.0,5,2003-8-9
721,Patricia Jay,COMPUTER,37.0,74.0,8.0,15.6,7,2001-7-7
722,Hilda Worrell,ENTC,33.0,73.0,78.0,84.0,1,2002-12-18
723,Sherika Haskins,ENTC,,4.0,40.0,90.0,3,2001-11-23
724,Myron Moses,COMPUTER,80.0,63.0,6.0,1.2,10,2001-1-1
725,Hung Sandoval,MECHANICAL,65.0,73.0,277.0,66.0,6,2001-10-17
726,James Dampeer,ENTC,80.0,,22.0,,6,2001-4-7
727,Deloris Hernandez,COMPUTER,100.0,84.0,21.0,34.4,6,2001-9-10
728,Martina Nava,ENTC,26.0,,55.0,,4,2002-12-18
729,Effie Jackson,COMPUTER,36.0,66.0,18.0,,6,2002-1-16
730,Frank Salk,ENTC,42.0,22.0,70.0,75.0,3,2003-10-14
731,Kelly Ficklin,COMPUTER,43.0,96.0,43.0,58.0,4,2001-3-16
732,Norma Garrett,MECHANICAL,49.0,64.0,228.0,84.0,1,2002-1-28
733,Scott Gendron,MECHANICAL,62.0,49.0,68.4,97.0,3,2001-4-28
734,Audrey Brewer,ENTC,58.0,76.0,80.0,99.0,9,2001-10-10
735,Virginia Oliver,COMPUTER,74.0,56.0,94.0,13.0,9,2001-5-3
736,Craig Helwig,ENTC,,88.0,68.0,81.0,9,2002-10-30
737,Howard Covington,ENTC,76.0,20.0,30.0,65.0,5,2001-8-5
738,Christia Zeigler,COMPUTER,80.0,31.0,2.0,89.0,3,2001-7-3
739,Pamela Rigdon,ENTC,71.0,32.0,83.0,68.0,9,2001-7-22
740,Debra Pulsifer,COMPUTER,44.0,45.7,42.0,75.0,6,2002-1-30
741,Dana Hartwell,MECHANICAL,30.0,98.0,1.0,70.0,3,2001-7-23
742,Frances Abbott,COMPUTER,53.0,,78.0,13.0,10,2002-3-19
743,William Taylor,MECHANICAL,63.0,57.0,11.0,70.0,9,2002-1-2
744,Judy Janczewski,ENTC,,60.0,53.0,96.0,6,2003-9-8
745,Cheryl Gresham,MECHANICAL,78.0,17.0,61.9,76.0,9,2001-3-16
746,Ann Murphy,ENTC,27.0,2.0,9.0,11.0,1,2002-3-28
747,Randall Perkins,COMPUTER,99.0,71.0,88.0,74.0,3,2002-11-18
748,Natalie Hidalgo,COMPUTER,38.0,82.0,41.0,41.0,10,2003-11-17
749,Virginia Bailey,MECHANICAL,59.0,30.0,161.0,64.0,4,2001-4-17
750,Ali Wallace,ENTC,57.0,96.0,242.0,54.0,2,2001-6-25
751,Heather Teodoro,MECHANICAL,96.0,,40.0,87.0,5,2001-7-23
752,Frances Place,COMPUTER,41.0,90.0,72.2,22.1,1,2002-12-19
753,Roger Roden,ENTC,94.0,66.0,234.0,52.0,5,2001-8-18
754,Tonya Koh,COMPUTER,,64.0,60.8,,3,2003-11-17
755,Janet Allen,ENTC,49.0,100.0,90.0,78.0,9,2001-10-25
756,Jeffrey Noell,COMPUTER,39.0,28.0,22.0,41.0,9,2001-8-13
757,David Fike,ENTC,,,44.0,94.0,3,2003-11-21
758,Kimberly Shipp,COMPUTER,55.0,,40.0,67.0,9,2002-2-22
759,Olive Dooley,MECHANICAL,91.0,13.0,63.0,66.0,5,2003-11-10
760,Shannon Salgado,MECHANICAL,67.0,23.0,70.6,31.0,1,2002-11-4
761,Maurice Seymour,ENTC,25.0,66.0,67.8,90.0,6,2002-5-19
762,Robert Roberts,ENTC,76.0,26.0,53.0,70.0,4,2003-11-18
763,Michael Gabel,MECHANICAL,46.0,11.0,52.0,45.0,8,2003-12-23
764,Manuel White,ENTC,5.0,57.0,26.0,38.0,2,2001-11-24
765,Gary Lingo,COMPUTER,61.0,91.0,73.4,28.7,3,2001-3-14
766,Patti Foster,COMPUTER,42.0,,49.0,35.0,2,2003-1-29
767,Katherine Hanauer,ENTC,96.0,34.0,52.0,53.0,7,2002-6-6
768,Lisa Preston,COMPUTER,21.0,68.0,264.0,4.3,9,2001-9-10
769,Ruby Alexander,MECHANICAL,50.0,56.0,68.7,9.9,9,2002-2-3
770,Amy Chandler,ENTC,12.0,17.0,40.0,,9,2003-2-2
771,Jessica Ochoa,COMPUTER,49.0,58.0,44.0,22.3,7,2001-2-9
772,Andrea Sellers,COMPUTER,72.0,71.0,247.0,100.0,3,2001-12-23
773,Jerrell Richmon,ENTC,,62.0,73.8,64.0,2,2001-5-29
774,Nora Pauling,COMPUTER,53.0,,87.0,39.0,10,2003-4-14
775,Arron Swain,COMPUTER,6.0,28.0,38.0,75.0,9,2003-2-4
776,John Wilson,ENTC,91.0,,154.0,72.0,7,2001-4-17
777,Michelle Brown,COMPUTER,,,37.0,27.1,3,2002-2-3
778,Lisa Gilpin,ENTC,53.0,56.0,269.0,82.0,1,2002-12-6
779,Melinda Haynes,COMPUTER,2.0,92.0,42.0,3.8,1,2003-9-3
780,Margo Kless,MECHANICAL,,23.0,191.0,49.0,2,2001-5-25
781,Joyce Eck,MECHANICAL,,92.0,72.7,48.0,1,2002-3-5
782,Travis Spenser,ENTC,85.0,86.0,88.0,78.0,6,2002-4-4
783,Aurora Miles,MECHANICAL,100.0,69.0,46.0,34.3,2,2003-5-22
